id	logFC	AveExpr	t	P.Value	adj.P.Val	B
CORO1A	-0.733334615873016	12.9228148571429	-11.2108521701387	5.4568248774812e-21	3.80401325347967e-18	37.1367056357899
ELMO1	-0.684676065079357	8.96515139849624	-11.1116724940331	9.72951642860249e-21	6.1042986073052e-18	36.5698129859539
CNOT3	-0.661197241269844	6.40148715037594	-11.0289887136501	1.57553022198356e-20	8.98625146611352e-18	36.0972935725607
BFAR	0.583739409523812	8.69906960150376	10.9133164996863	3.09165679211746e-20	1.55176437709959e-17	35.4364397579728
WDR1	-0.518250428571426	9.53007690225564	-10.8361460050462	4.84658633482661e-20	2.33903712805401e-17	34.9957084156025
ZNF91	0.948116022222219	8.62405078195489	10.8175425006606	5.40124128058815e-20	2.50365199617281e-17	34.8894831514068
MAP7D1	-0.627593747619049	10.3715016917293	-10.8117450164844	5.58672743806493e-20	2.50365199617281e-17	34.856381614412
ACLY	-0.541759831746031	8.5172609924812	-10.7795803324795	6.73760984150942e-20	2.69939940847072e-17	34.6727496125774
SRSF5	-0.622424223809523	9.02038239849624	-10.7764509612581	6.86151020937854e-20	2.69939940847072e-17	34.6548852116529
PSD4	-0.798476765079366	8.60569957894737	-10.7758882983006	6.88402781886062e-20	2.69939940847072e-17	34.6516732107137
SBNO2	-0.916380960317456	8.37090840601504	-10.7501017411647	7.99924579420722e-20	2.95219224193271e-17	34.5044787765039
CD3G	1.28274304761905	9.13341044360902	10.6964606277208	1.09310489427741e-19	3.8100778370536e-17	34.1983507220039
PSMA7	0.648683133333332	9.60518312781955	10.6580298602811	1.36708217629672e-19	4.63625598599224e-17	33.9790856110369
CAMLG	0.667693257142851	9.1667775037594	10.5819478961509	2.12823875710739e-19	6.84747177543167e-17	33.5451593177622
CNN2	-0.842744750793647	10.067205924812	-10.5674404314209	2.31559824818004e-19	7.26403170454079e-17	33.4624424701746
PXN	-0.895162663492052	9.1636062481203	-10.5503434811316	2.55765394182262e-19	7.82766869804641e-17	33.3649720790587
BBX	0.755478977777775	8.89581230827068	10.4531693028411	4.49937509285206e-19	1.2546257481135e-16	32.811214844116
UQCR11	1.21148565555556	10.0268183308271	10.4080769464942	5.84683604680709e-19	1.56098082373054e-16	32.5543976999489
TP53	-0.855369999999999	6.80508726315789	-10.3870402890997	6.60665901144329e-19	1.70464654429317e-16	32.4346203051051
STAT6	-0.677506385714285	10.2823591203008	-10.3836746762899	6.73705531191511e-19	1.70464654429317e-16	32.4154594162681
TET3	-0.677642520634915	6.92644953383459	-10.382263202329	6.79250296578408e-19	1.70464654429317e-16	32.4074238747439
PRKCD	-0.870559568253965	10.2154494360902	-10.2967522551541	1.11584216401946e-18	2.69261297579156e-16	31.9208034376787
RPL9	1.89195402857143	10.8857561353383	10.2439516066071	1.5157429151539e-18	3.58859284893418e-16	31.6205300146454
AKIRIN1	0.737662930158729	8.93836120300752	10.2061518418091	1.88717618432867e-18	4.3055066838102e-16	31.4056658980588
RNF19B	-0.708708869841262	9.33489645864662	-10.1139328235572	3.22014580491379e-18	6.73439826000971e-16	30.8818415630987
TLN1	-1.00453074285714	9.70462660902256	-10.1081585249868	3.3296472155211e-18	6.84924807546865e-16	30.8490606899363
APOBR	-0.997294638095239	8.99349660902256	-10.082500404802	3.86294089761871e-18	7.69399720370151e-16	30.7034260147771
LAMP1	-0.595986006349202	9.2675035037594	-10.0470704218195	4.74217957889827e-18	9.10826738347306e-16	30.5024012543005
ARHGEF11	-0.611173874603171	7.56701328571429	-10.0453087897807	4.7907686269463e-18	9.10826738347306e-16	30.492408305053
CREBBP	-0.707642501587301	8.14149416541353	-10.0393555262149	4.95867660494948e-18	9.28678716998598e-16	30.4586397442474
RAPGEF6	-0.958374426984125	8.56808796240601	-10.0200546355542	5.54448876680113e-18	1.02312125067383e-15	30.3491772443753
SRPR	-0.500198830158732	8.59212233082707	-10.016486547627	5.66011780133169e-18	1.02932113291464e-15	30.3289442506754
ARHGEF2	-0.61832326349206	9.49641890977444	-9.94066232813088	8.77443413623219e-18	1.55072675410481e-15	29.899204064589
DGKA	-0.818515893650796	9.37961738345865	-9.93442706933407	9.09635458878952e-18	1.56357612849494e-15	29.8638847353514
IRF2	-0.524318355555554	9.61192795488722	-9.9301747469201	9.32262975704623e-18	1.58081565123535e-15	29.8397993989797
BHLHE40	-0.626270203174604	7.8784919924812	-9.90586398589657	1.07283685041305e-17	1.79492757319772e-15	29.7021296110283
NFYC	-0.500533523809526	8.97642511278196	-9.90122479259974	1.10197320974828e-17	1.8194157678844e-15	29.6758635994144
UBE4B	-0.642077426984124	7.81366078195489	-9.88936106517369	1.18012403299039e-17	1.86779080738842e-15	29.6087018732895
PTPN6	-0.535390609523807	11.7538938496241	-9.88313418700943	1.22333094611797e-17	1.89510576689978e-15	29.5734554680563
UPF1	-0.547355585714286	8.48250868421053	-9.86370592753216	1.3685450452193e-17	2.09420771065997e-15	29.4635048178959
NUP93	-0.517115825396823	8.62276988721804	-9.84897101840339	1.4900369079689e-17	2.25264856881852e-15	29.3801361388461
INPP5D	-0.579826550793651	9.78217792481203	-9.83084588489792	1.65433315383099e-17	2.47125862074658e-15	29.2776108759063
RPL27	1.2357340015873	12.1199760150376	9.82009029717334	1.7602462252918e-17	2.56832205057692e-15	29.2167848041477
MRPL57	0.514535687301588	9.18288652631579	9.79234879874101	2.06569433513564e-17	2.94549233150932e-15	29.0599442784633
GLRX2	0.543096885714288	7.19589960902256	9.69578988926585	3.60344668636414e-17	4.91478793701057e-15	28.5145692413554
ICAM1	-0.575435841269842	6.95249872932331	-9.68491798430832	3.83622049579738e-17	5.15087863866205e-15	28.4532173487793
PDP1	0.940200969841272	7.36877506015038	9.68390565948042	3.85864354506083e-17	5.15087863866205e-15	28.4475052071881
GBF1	-0.594162103174603	7.45471827819549	-9.6743898904028	4.07591158629779e-17	5.38363564051208e-15	28.3938163125811
ITGB2	-0.546635573015873	12.7180470827068	-9.6637760141908	4.3326722465539e-17	5.60478055152148e-15	28.3339419948606
SVIL	-0.504408255555552	7.62383838345865	-9.65476955221536	4.56315585857747e-17	5.8427020115745e-15	28.2831438176125
TTBK2	0.873946946031746	5.61026918796992	9.63684320805116	5.05892045580331e-17	6.29446844634152e-15	28.1820592161778
ZNF148	0.663814669841273	9.79982744360902	9.63612168827846	5.07996162500519e-17	6.29446844634152e-15	28.1779913059284
OLA1	0.834359830158739	8.78308302255639	9.63487110630997	5.11663836090879e-17	6.29446844634152e-15	28.1709406773963
UBFD1	0.604001306349205	6.30209278947368	9.61836630208102	5.62615915602993e-17	6.85408204755957e-15	28.0779030462115
UTRN	-0.556275863492066	6.66917072180451	-9.60595963915909	6.04219837644056e-17	7.22503358770921e-15	28.0079844503613
RASA3	-0.792851946031742	6.27595396240601	-9.60585564328064	6.04581229446499e-17	7.22503358770921e-15	28.0073984394898
NADK	-0.599686073015871	9.56153190977444	-9.58457707159174	6.8324720848879e-17	8.01251025431527e-15	27.8875178049832
NDUFA4	1.7458818952381	8.34215311278195	9.57002773675914	7.4283072008104e-17	8.55141272988705e-15	27.8055752567093
VAMP2	-0.615883777777775	8.24344627819549	-9.56833251109787	7.50101737039076e-17	8.55661508760575e-15	27.7960290748941
MRPS15	0.615709890476196	6.80293736090226	9.54666747858995	8.49517999170062e-17	9.60338004827562e-15	27.6740547350365
G6PD	-0.88555400634921	9.86687857894737	-9.54162040819812	8.74503618916438e-17	9.79756375907452e-15	27.645646687818
ATP2A3	-0.667413952380956	8.76616487969925	-9.51847034375332	9.98828089619669e-17	1.08985172769979e-14	27.5153780542067
RPS10	0.798369260317459	10.643560887218	9.50703895297371	1.06656712210751e-16	1.15373140070733e-14	27.4510729892855
GALNT11	0.515423404761902	8.31381214285714	9.46324438385898	1.37122472240971e-16	1.43384398473308e-14	27.204845642582
GSN	-0.686011420634923	8.50210856390977	-9.42787849226255	1.67943145044838e-16	1.68588046721811e-14	27.0061611141963
SLC6A6	-0.598097138095234	6.41313069924812	-9.41651860562368	1.79239346236987e-16	1.78499628300136e-14	26.9423713886252
RPS10L	0.861555488888886	9.11711236842105	9.41100804280001	1.84988661726509e-16	1.81346697448769e-14	26.9114329303896
ABR	-0.533264153968247	8.31282190977444	-9.39784428010996	1.99477593163277e-16	1.93425101513991e-14	26.8375404448303
GSTO1	0.748808496825401	10.7256026240601	9.39704525449481	2.00392597998238e-16	1.93425101513991e-14	26.8330558934924
NTAN1	0.689708117460315	8.6746362406015	9.36718616223189	2.37756781976199e-16	2.26013037896769e-14	26.6655239506558
RNF44	-0.673160668253967	10.6915063082707	-9.36318867980853	2.43259711428125e-16	2.29505478120309e-14	26.6431029577411
UBL5	0.799663098412701	9.09888218796993	9.34910125698422	2.63683831756686e-16	2.45089238583918e-14	26.5641047205723
GANAB	-0.529218960317458	9.37037816541353	-9.3358528892328	2.84447610334672e-16	2.62444751064666e-14	26.4898331179691
ARID3A	-0.705025884126982	8.36899872932331	-9.32399871954954	3.04403266222743e-16	2.78806728800218e-14	26.4233952917307
RPLP0	0.67539005873016	12.9081860075188	9.31868134619004	3.13802138953213e-16	2.8533255359311e-14	26.3935990514909
CXorf21	0.529729600000003	7.37213019548872	9.29140390304247	3.66759298554713e-16	3.28721119876038e-14	26.2408020726102
TRANK1	-0.699155125396823	9.86453815789474	-9.27584659404423	4.0085744881367e-16	3.54222483641826e-14	26.1536972500199
DENND1B	0.825949273015871	8.77650741353384	9.27041039784583	4.1350242422495e-16	3.62841148194033e-14	26.1232672354606
RBM41	0.516195901587299	6.2698917518797	9.26379632145717	4.29424259330087e-16	3.74195528199578e-14	26.0862487948114
ZFP36	-0.53274474920635	11.4328703759398	-9.24620962700833	4.74793967493694e-16	4.10876876145577e-14	25.9878441295554
RBX1	1.1567907047619	8.67404045112782	9.24059422406185	4.90262944793804e-16	4.1849111777365e-14	25.9564318755431
PRPF8	-0.586436593650784	10.1930523834586	-9.22249938620816	5.43607256348391e-16	4.57797574004e-14	25.8552375600852
CCDC15	0.55489260952381	6.1253415037594	9.20993142056265	5.84023268834166e-16	4.85469260260106e-14	25.7849765659921
FAM63B	0.506849617460317	5.76327521052632	9.20987733078797	5.84203524858751e-16	4.85469260260106e-14	25.784674221913
ADAM8	-0.761249134920634	8.71291248120301	-9.19354829003119	6.41233973533214e-16	5.29355519729919e-14	25.6934175328442
SIRPA	-0.575836799999996	8.94271085714286	-9.10255739589243	1.07685590525515e-15	8.55214423996308e-14	25.1855488830923
ATP6V1G1	1.01014142857143	9.7143492406015	9.09785962892003	1.10603422285553e-15	8.72862731345358e-14	25.1593584389527
RPS15A	1.51993276825396	11.7278207894737	9.08120497304325	1.21596687338815e-15	9.41848909091021e-14	25.0665318154839
NOTCH1	-0.575705868253964	9.68612759398496	-9.07249762701697	1.27770582756772e-15	9.82655927981737e-14	25.0180157151207
ARHGAP17	-0.501904492063487	9.20856980451128	-9.05173418432696	1.43781574893897e-15	1.06127717751095e-13	24.9023674678825
CD48	0.851050644444449	11.2902863759398	9.04410938545576	1.50149935725897e-15	1.10180198449623e-13	24.8599140688789
LY96	1.30998196984127	7.98165992481203	9.03187374539166	1.60961386340375e-15	1.16748177791851e-13	24.7918056104513
RSRC1	0.752362612698417	6.50979319548872	8.98553818338423	2.09407274262201e-15	1.47620363901241e-13	24.5340778962837
LYRM2	0.870575474603175	5.59921087218045	8.97575698222098	2.21358775702399e-15	1.55173738408586e-13	24.4797127208386
SMURF2	0.615638957142856	7.51210193233083	8.97091855447045	2.27519415821556e-15	1.58038399760533e-13	24.4528253061705
ARHGDIA	-0.581347865079357	8.27765423308271	-8.94385878930503	2.65256368963013e-15	1.79915509067453e-13	24.3025164730982
RAPGEF1	-0.502487130158733	6.03505667669173	-8.93939070857544	2.72060901710414e-15	1.83538720143133e-13	24.2777081124534
SLC26A2	0.742061180952382	8.13866856390977	8.93818726972701	2.73923161981574e-15	1.83806836178866e-13	24.271026706094
PRKCSH	-0.538128553968257	9.52250641353383	-8.91950939717663	3.04507578726026e-15	2.03242611587988e-13	24.16735640086
CD37	-0.678877771428574	11.6487057669173	-8.91238394549193	3.17051023717843e-15	2.10495039450343e-13	24.1278209321903
EVI2A	2.1559596015873	7.71258713533835	8.88770592021548	3.6460304930142e-15	2.36116017271657e-13	23.9909550449273
CD52	1.23150013015874	10.397051518797	8.87888804250535	3.8326282489827e-15	2.46624714196076e-13	23.9420731987922
COX6A1	0.641070698412697	10.7874833609023	8.8642732120202	4.16305516008225e-15	2.62502593712121e-13	23.8610824785041
LSM14B	-0.506637596825395	7.05635231578947	-8.82265534658471	5.26755861658349e-15	3.19310751308645e-13	23.6306326679373
RPS21	0.720243425396824	9.74299709022556	8.82123497824911	5.31000838472194e-15	3.20336467362937e-13	23.6227725197203
RPL35	1.23610798095239	10.938442481203	8.8063878513172	5.77463434192799e-15	3.46664485219895e-13	23.5406295710751
MRPS31	0.748799807936508	7.61885879699248	8.80543586180219	5.80576972570109e-15	3.46664485219895e-13	23.5353638146448
NCOA6	-0.612240715873012	9.13340877443609	-8.8047194061482	5.8293119526138e-15	3.46664485219895e-13	23.5314009667573
LGALS3	0.756425533333335	12.6266186541353	8.7823568842985	6.61387195859835e-15	3.86004024820893e-13	23.4077513374373
CYTH4	-0.549079560317461	9.65244307518797	-8.7773467491172	6.8035753394572e-15	3.95237330368097e-13	23.3800597801084
NDUFA7	0.56072550952381	8.19245459398496	8.77610884879718	6.8512752451203e-15	3.96174201731657e-13	23.3732184008021
PI4KA	-0.540845973015868	8.96087595488722	-8.77063871761958	7.06607087981259e-15	4.04863275798577e-13	23.3429901675654
TMBIM4	0.531720087301585	10.3804308045113	8.76174123974634	7.42985146926503e-15	4.23771710165171e-13	23.2938326834983
PLEC	-0.81659831111111	7.69876266917293	-8.75566104631497	7.68910380368322e-15	4.3657409288967e-13	23.2602478217943
ANKFY1	-0.546982303174604	7.03097646616541	-8.75173976111811	7.86105694995147e-15	4.41998969349673e-13	23.2385912403714
NANS	0.503021247619051	8.35974397744361	8.73315712196976	8.7294056797347e-15	4.76246010736135e-13	23.1359970975036
AGO3	0.698488411111112	7.97260565413534	8.71724812096763	9.54821421972562e-15	5.16382353746076e-13	23.0482096700718
IGF2R	-0.840376163492063	10.1715615338346	-8.71649997785551	9.5885470531428e-15	5.16382353746076e-13	23.0440823857352
SCAF11	0.68571676031746	9.85253166917293	8.71018165004224	9.93600251599597e-15	5.32807519532981e-13	23.0092297893717
LGALS1	0.611017768253973	11.4204637593985	8.70393985005532	1.0291544582021e-14	5.49524686873191e-13	22.9748059279481
COPG1	-0.615299615873015	8.03967239849624	-8.70092940135312	1.04675203214361e-14	5.56552733022798e-13	22.9582054925279
PNP	0.800069717460316	9.77388357894737	8.69929384694218	1.05643782492421e-14	5.59332566546372e-13	22.9491872417066
CCNL2	-0.502570604761909	8.76601920300752	-8.68845285251976	1.12293155862606e-14	5.89562560570704e-13	22.8894227625564
PTPN4	0.852574161904768	8.90301190977444	8.68607397660297	1.13807057661765e-14	5.9072444482907e-13	22.8763111134647
FAU	0.627973065079367	12.3951500601504	8.67348273868996	1.2216467455971e-14	6.21783588055685e-13	22.8069280761135
HIST1H4J	0.752496407936507	6.61253723308271	8.67314881095358	1.22394442341213e-14	6.21783588055685e-13	22.8050883624472
DDX21	-0.757586573015875	9.65838552631579	-8.66461064194613	1.2841761755811e-14	6.49751719806117e-13	22.7580553867563
KLHDC10	0.580587209523813	7.98177040601504	8.6442412761059	1.44004310739576e-14	7.19906809227173e-13	22.6459003885969
ZNF22	0.967588741269846	7.19407910526316	8.63842112597544	1.48793948120517e-14	7.3345607927562e-13	22.6138674979659
RHOB	-0.55126456031746	9.6852645037594	-8.62881101466038	1.57051721415223e-14	7.57955769353163e-13	22.5609883866661
SLC25A36	0.835543125396823	8.30453314285714	8.60863131768645	1.75904654949431e-14	8.42462446681471e-13	22.4500034437469
PLXDC2	0.740455398412703	6.5286502406015	8.59985689552996	1.8478886861751e-14	8.81646662894492e-13	22.4017680204385
GTPBP8	0.58572538095238	8.01243813533835	8.58392101992625	2.02080497656499e-14	9.56870220601416e-13	22.3141991149392
FLJ10038	0.565117899999999	6.06665690225564	8.56784017996097	2.21160204924487e-14	1.02402887505257e-12	22.2258796854329
SPI1	-0.711992731746024	9.99237130075188	-8.53919742258364	2.59686388153049e-14	1.17213841674261e-12	22.0686832255851
CLPTM1	-0.511061476190473	8.70296432330827	-8.5111370347395	3.03887014003422e-14	1.36117235704456e-12	21.9148282942403
MRPL13	0.990587563492065	5.69090409774436	8.50641674520266	3.12024901305908e-14	1.38840016368317e-12	21.888961250346
COX20	0.581412714285715	8.47298954887218	8.49983600562455	3.23733049290816e-14	1.43540717402868e-12	21.852905898974
CSF3R	-0.672855777777778	12.2992387293233	-8.46426840074323	3.94996190132314e-14	1.73909199781764e-12	21.658173955695
GCHFR	0.515125444444447	7.49004063909774	8.43336096540034	4.69457045605128e-14	2.03832076410143e-12	21.4891505940511
SLC16A7	0.805103253968253	6.69172930075188	8.42457952468004	4.93050861094415e-14	2.12604886770197e-12	21.4411608965545
GPR171	0.83139806984126	9.36580451879699	8.39498636871558	5.81583212632877e-14	2.45714011855803e-12	21.2795469995694
LPAR6	1.4239612063492	6.98131977443609	8.34922684465891	7.50533065091797e-14	3.10814815206992e-12	21.0299829407514
UGCG	0.601125322222225	7.36819795488722	8.29885923777378	9.93295100715077e-14	4.04671004018597e-12	20.7557700682713
NGRN	0.510301092063495	9.04728103007519	8.28838004132523	1.05286599933478e-13	4.25052128495528e-12	20.6987834971965
SREK1IP1	0.900524128571429	6.60977563909774	8.28785389086286	1.05594884719184e-13	4.25052128495528e-12	20.6959228476634
CTSO	0.531328160317461	8.29330922556391	8.28690623800277	1.06152402479759e-13	4.25559216075405e-12	20.6907706570587
HNRNPA0	-0.514142907936513	9.20682569172932	-8.28560190866051	1.06924544083277e-13	4.27289547502217e-12	20.6836795918234
RPL30	0.841350415873015	12.8655714210526	8.27673149393385	1.12325770840591e-13	4.46032839401184e-12	20.6354643065645
EID1	0.745386703174606	7.52156204511278	8.27307354546242	1.14631270013244e-13	4.53751790576084e-12	20.6155861788675
RPL39	1.42062156666666	12.0419727518797	8.27107237578123	1.15912382169073e-13	4.55946260644992e-12	20.6047125323585
SH2B2	-0.608829230158724	9.25316829323308	-8.2234478710725	1.50971429156631e-13	5.82889074786895e-12	20.3461832341819
MTMR3	-0.55379065873016	8.08997110526316	-8.19815255364544	1.73687976154771e-13	6.58440098123886e-12	20.2090613598497
IGFBP7	0.507800211111117	6.87139101503759	8.19658591529127	1.75201615444021e-13	6.62177671864932e-12	20.2005733275561
ZMIZ1	-0.731218841269838	9.45798881954887	-8.18631080135088	1.85459100672346e-13	6.90546230040535e-12	20.1449158291635
TMEM260	0.723996996825397	8.85839322556391	8.17263882665332	2.00037948281648e-13	7.40435449863754e-12	20.0708934998443
HGS	-0.518566165079362	9.08021766165414	-8.14942921462462	2.27438588192803e-13	8.32040642753146e-12	19.9453250543421
COX7A2	1.26981562539683	9.56655790225564	8.14484217123628	2.33279660223908e-13	8.50928248979535e-12	19.9205220894126
SPIN1	0.704496726984128	6.74070105263158	8.12917619510978	2.5437459234508e-13	9.19853713183303e-12	19.8358479475058
RORA	0.868993326984125	6.9405804962406	8.11134054181519	2.80704968496452e-13	1.00636741276957e-11	19.7395122658605
SNORA21	0.746455422222224	6.79145862406015	8.10534449001661	2.90151081695472e-13	1.02884406952852e-11	19.707141553436
RPS29	0.926654247619048	11.9419921428571	8.09959842655853	2.99499337193947e-13	1.05565103458136e-11	19.6761279137977
FAM169A	0.761209187301587	5.30852668421053	8.09704169593988	3.03754436403131e-13	1.06765004705504e-11	19.6623306428703
HAX1	0.551529012698413	9.55967515789474	8.08883265613129	3.1782646197659e-13	1.11088758910369e-11	19.6180407874383
C11orf73	0.719045130158731	6.32512736090226	8.07142817743405	3.49838221026e-13	1.20598076852589e-11	19.5241889500957
PDCD10	1.29743527936508	7.93069645112782	8.06994928768417	3.52701518409364e-13	1.20920728224063e-11	19.5162173193591
FKBP1B	1.01460797619048	8.14727057894737	8.05800371401659	3.76698873584652e-13	1.27751823398384e-11	19.4518453644407
ATP6V1A	-1.04677677777778	9.12348748872181	-8.05732751943413	3.78104739566717e-13	1.27882972293347e-11	19.4482024689646
EHBP1L1	-0.582528441269842	8.80116721052632	-8.055326859479	3.82294859907712e-13	1.28589938674842e-11	19.4374248225406
RTP4	0.627923312698414	7.44204911278196	8.0464222631227	4.01510604970471e-13	1.33638065548262e-11	19.3894663400867
VAMP8	0.649533630158725	10.3784469323308	8.03937643888828	4.17392180119863e-13	1.38190951877151e-11	19.3515315985882
MPC2	0.64534594920635	8.81295298496241	8.03804931967292	4.20452613337726e-13	1.388378787411e-11	19.3443876472533
CKS2	1.00381605396825	5.43182812781955	8.03317422865264	4.31887372297426e-13	1.42239442193913e-11	19.3181482232772
ZFP36L2	-0.640271152380949	10.1824415639098	-8.03097027103448	4.37157682166336e-13	1.42850380099562e-11	19.3062875406342
ATP5E	0.816969769841272	11.1970663909774	8.02861913031272	4.42850345386045e-13	1.4433470477673e-11	19.2936360089373
STIP1	-0.763078590476187	7.87439616541353	-8.02680726658305	4.47287445147278e-13	1.45403182945804e-11	19.2838871984416
CD6	-0.634485999999999	8.38706428571429	-8.0241287021971	4.53927989881626e-13	1.47180579251541e-11	19.2694764433231
C14orf2	1.13256124126984	7.84267716541353	8.01385345942535	4.80322116374677e-13	1.53833153682087e-11	19.2142105866735
PIK3R1	0.684889760317459	8.09807840601504	8.00028862594631	5.17512463658003e-13	1.64139970345027e-11	19.1412887068102
PRDX4	0.901542495238099	8.23939666917293	7.99943447130951	5.19947685725402e-13	1.64340140062528e-11	19.1366983603653
CRBN	0.663725088888887	9.33480867669173	7.99805769534458	5.23896882626337e-13	1.64758347949756e-11	19.1292997289925
RPL41	1.05022830634922	13.0335662481203	7.98945947029187	5.49242789860739e-13	1.71867793695076e-11	19.0831038153932
ATP5L	0.722935374603185	9.60250041353383	7.98649615464739	5.58257113752156e-13	1.74253986650797e-11	19.0671867045786
NDUFA6	0.69976004920635	7.79465512781955	7.98155448291743	5.73617297688425e-13	1.78604214674798e-11	19.0406476221854
ACTN1	-0.552499558730156	10.4257430601504	-7.97197766826898	6.04588925010024e-13	1.87318069901871e-11	18.989231863682
UBA1	-0.612282890476191	10.9199413233083	-7.96116813566111	6.4154482084485e-13	1.97791263193149e-11	18.9312236893924
RPS27L	1.26115094603175	6.75667633834586	7.95395606354213	6.67439813452111e-13	2.04269140956027e-11	18.8925361484423
PTCD2	0.591613620634922	7.52609238345865	7.94821370320898	6.88797361850615e-13	2.08787405398688e-11	18.8617413052973
POLR1D	0.780164047619049	11.1677617518797	7.94812066637266	6.89148918885531e-13	2.08787405398688e-11	18.8612424360362
RPS27	1.01470337619048	12.7168216466165	7.93685283545801	7.33070155047403e-13	2.21119334267664e-11	18.8008387649151
LSM1	0.682015792063494	8.21648433082707	7.9222244571507	7.94258247089126e-13	2.38429485274506e-11	18.7224650857688
FLOT2	-0.645499414285711	10.2442238947368	-7.9181859156415	8.12025890797092e-13	2.41505285926317e-11	18.700836987442
COX7C	1.17073958730159	8.29539228571429	7.91496040253839	8.26499434272994e-13	2.45175293173937e-11	18.6835657990828
TIMM8B	0.832602534920633	8.42071008270677	7.91223789973329	8.3891487972614e-13	2.47687150842438e-11	18.6689899441732
HIGD1A	0.665750809523816	7.90085506766917	7.90095684861399	8.92362624039844e-13	2.61620705758223e-11	18.6086118973673
FCGR1B	1.02360045873016	9.38673521052632	7.89630381163204	9.15379907826761e-13	2.67120629846749e-11	18.5837169865397
HBD	1.14928088095238	12.6213690075188	7.89149753696655	9.39773769920078e-13	2.72339059236885e-11	18.5580076949464
RPS18	0.698234179365084	12.9881578796992	7.88986565026921	9.48202092124177e-13	2.73518157516648e-11	18.5492798216307
MYC	-0.604027304761898	9.78463465413534	-7.85869105702106	1.12440838227609e-12	3.19209872868788e-11	18.3826717690662
LONRF1	0.573978496825396	7.36553840601504	7.85823431951098	1.12721782204382e-12	3.1928508422135e-11	18.3802325623047
ZNF271	0.759135726984121	7.24376670676692	7.85047255975797	1.17604003444371e-12	3.32363746671164e-11	18.3387886943305
METTL9	0.689113652380954	10.8934043007519	7.84153998074151	1.23482776162376e-12	3.46635766283108e-11	18.291111546361
PAK1IP1	0.506179293650791	5.6893405037594	7.84007179878446	1.24476537886262e-12	3.48645445847503e-11	18.2832770847134
TMEM259	-0.652842058730155	6.04616164661654	-7.82568876703405	1.34641340654736e-12	3.70499899678867e-11	18.206554988262
INPP4B	0.624530317460318	6.7605069924812	7.80744909082109	1.48723476268069e-12	4.06572334433112e-11	18.1093345108424
SOWAHC	0.536877226984126	5.48778883458647	7.80474122984534	1.50935083666031e-12	4.10831546603332e-11	18.0949082303499
ZNF430	0.664613358730161	7.36280806015038	7.79507067024472	1.59102975626157e-12	4.31193118392445e-11	18.043402751924
OGDH	-0.515482561904763	9.0409930075188	-7.78139683584371	1.71405400347599e-12	4.61543983596926e-11	17.9706158467828
AHSP	1.2937013968254	10.9156663609023	7.76576068786698	1.86633004271794e-12	5.00399772991981e-11	17.8874411774162
RPL15	0.568047284126987	10.8418966992481	7.75216433664331	2.00959799974288e-12	5.37663874216921e-11	17.8151673618953
CD244	0.5178460968254	8.42483746616541	7.73770087471709	2.17398610747907e-12	5.77948679589987e-11	17.7383360102993
RPS7	1.65626530793651	9.67570593233083	7.73312634725167	2.22870375476338e-12	5.9124259439262e-11	17.7140468146493
NME6	0.516748996825401	7.81218533082707	7.72305350050904	2.35404982558093e-12	6.2064765135939e-11	17.6605823610021
