id	logFC	AveExpr	t	P.Value	adj.P.Val	B
CORO1A	-0.733334615873016	12.9228148571429	-11.2108521701387	5.4568248774812e-21	3.80401325347967e-18	37.1367056357899
DCAF15	-0.433826831746029	7.08976640601504	-11.1713077048007	6.87200654217247e-21	4.53841779427264e-18	36.9106660757415
ELMO1	-0.684676065079357	8.96515139849624	-11.1116724940331	9.72951642860249e-21	6.1042986073052e-18	36.5698129859539
NEK9	-0.34494778571429	7.99154410526316	-11.0514422096423	1.38224337793169e-20	8.25923328870802e-18	36.2256008323846
CNOT3	-0.661197241269844	6.40148715037594	-11.0289887136501	1.57553022198356e-20	8.98625146611352e-18	36.0972935725607
CDK2	-0.283629233333336	5.95925207518797	-10.9969249715852	1.89928927814788e-20	1.03618616792172e-17	35.9140838593767
SPTBN1	-0.323791234920633	6.23393048120301	-10.9845283248018	2.04159250435235e-20	1.06741261435889e-17	35.8432550835504
BFAR	0.583739409523812	8.69906960150376	10.9133164996863	3.09165679211746e-20	1.55176437709959e-17	35.4364397579728
WDR1	-0.518250428571426	9.53007690225564	-10.8361460050462	4.84658633482661e-20	2.33903712805401e-17	34.9957084156025
ZNF91	0.948116022222219	8.62405078195489	10.8175425006606	5.40124128058815e-20	2.50365199617281e-17	34.8894831514068
MAP7D1	-0.627593747619049	10.3715016917293	-10.8117450164844	5.58672743806493e-20	2.50365199617281e-17	34.856381614412
PEX5	-0.328882919047617	6.52848506015038	-10.8018759038608	5.91723806390845e-20	2.56032769744563e-17	34.8000346372615
ACLY	-0.541759831746031	8.5172609924812	-10.7795803324795	6.73760984150942e-20	2.69939940847072e-17	34.6727496125774
SRSF5	-0.622424223809523	9.02038239849624	-10.7764509612581	6.86151020937854e-20	2.69939940847072e-17	34.6548852116529
PSD4	-0.798476765079366	8.60569957894737	-10.7758882983006	6.88402781886062e-20	2.69939940847072e-17	34.6516732107137
NFRKB	-0.401251625396825	7.36982661654135	-10.769683054695	7.13731084231202e-20	2.71390837725246e-17	34.6162507493422
SBNO2	-0.916380960317456	8.37090840601504	-10.7501017411647	7.99924579420722e-20	2.95219224193271e-17	34.5044787765039
ATF6B	-0.477999557142853	7.55467228571429	-10.6975005953869	1.08650827346221e-19	3.8100778370536e-17	34.204284905702
CD3G	1.28274304761905	9.13341044360902	10.6964606277208	1.09310489427741e-19	3.8100778370536e-17	34.1983507220039
PSMA7	0.648683133333332	9.60518312781955	10.6580298602811	1.36708217629672e-19	4.63625598599224e-17	33.9790856110369
TMF1	0.460293307936507	7.71814555639098	10.5997055897832	1.91938940965842e-19	6.33802587168258e-17	33.6464191680488
CAMLG	0.667693257142851	9.1667775037594	10.5819478961509	2.12823875710739e-19	6.84747177543167e-17	33.5451593177622
CNN2	-0.842744750793647	10.067205924812	-10.5674404314209	2.31559824818004e-19	7.26403170454079e-17	33.4624424701746
PXN	-0.895162663492052	9.1636062481203	-10.5503434811316	2.55765394182262e-19	7.82766869804641e-17	33.3649720790587
CBFA2T2	-0.292982428571429	6.48597015037594	-10.4993511748767	3.44026227124837e-19	1.02745478303468e-16	33.0743353916402
TM9SF4	-0.456830077777775	8.31112218045113	-10.4953639888256	3.52092410507582e-19	1.02745478303468e-16	33.0516146766752
FLNB	-0.455983603174604	7.16936794736842	-10.4617633405441	4.2802045692994e-19	1.22063652126293e-16	32.860171888158
BBX	0.755478977777775	8.89581230827068	10.4531693028411	4.49937509285206e-19	1.2546257481135e-16	32.811214844116
SETD1B	-0.497861465079362	10.1570295864662	-10.4298989167048	5.15073343512378e-19	1.40503050312898e-16	32.6786694776552
UQCR11	1.21148565555556	10.0268183308271	10.4080769464942	5.84683604680709e-19	1.56098082373054e-16	32.5543976999489
TP53	-0.855369999999999	6.80508726315789	-10.3870402890997	6.60665901144329e-19	1.70464654429317e-16	32.4346203051051
STAT6	-0.677506385714285	10.2823591203008	-10.3836746762899	6.73705531191511e-19	1.70464654429317e-16	32.4154594162681
TET3	-0.677642520634915	6.92644953383459	-10.382263202329	6.79250296578408e-19	1.70464654429317e-16	32.4074238747439
MRPS11	0.461289652380955	7.18911293233083	10.3742538506934	7.1158782167695e-19	1.75078509537301e-16	32.3618284393687
PRKCD	-0.870559568253965	10.2154494360902	-10.2967522551541	1.11584216401946e-18	2.69261297579156e-16	31.9208034376787
RPL9	1.89195402857143	10.8857561353383	10.2439516066071	1.5157429151539e-18	3.58859284893418e-16	31.6205300146454
DHX38	-0.388764587301583	8.11731493233083	-10.2100064987071	1.84547178359085e-18	4.28832961861073e-16	31.427572864275
AKIRIN1	0.737662930158729	8.93836120300752	10.2061518418091	1.88717618432867e-18	4.3055066838102e-16	31.4056658980588
ST6GAL1	-0.442106549206349	7.03474283458647	-10.1618081473909	2.44022462123712e-18	5.43538667190026e-16	31.1537160264561
NCOR1	-0.395401288888886	7.97773123308271	-10.1597811023195	2.46905515060818e-18	5.43538667190026e-16	31.142201822342
PHF8	-0.28256357301587	6.08980463157895	-10.1286352781092	2.95728857234404e-18	6.39794086306432e-16	30.9653178936885
SIN3B	-0.479253244444444	8.0744897518797	-10.1157551298934	3.18634013438332e-18	6.73439826000971e-16	30.8921873164126
RNF19B	-0.708708869841262	9.33489645864662	-10.1139328235572	3.22014580491379e-18	6.73439826000971e-16	30.8818415630987
TLN1	-1.00453074285714	9.70462660902256	-10.1081585249868	3.3296472155211e-18	6.84924807546865e-16	30.8490606899363
MTA1	-0.494758441269838	7.33152123308271	-10.0833700804432	3.84354081185262e-18	7.69399720370151e-16	30.7083615302209
APOBR	-0.997294638095239	8.99349660902256	-10.082500404802	3.86294089761871e-18	7.69399720370151e-16	30.7034260147771
DNAJC1	0.331340128571433	7.49540954135338	10.0601099600244	4.39749209815344e-18	8.62183294494209e-16	30.5763755448801
LAMP1	-0.595986006349202	9.2675035037594	-10.0470704218195	4.74217957889827e-18	9.10826738347306e-16	30.5024012543005
ARHGEF11	-0.611173874603171	7.56701328571429	-10.0453087897807	4.7907686269463e-18	9.10826738347306e-16	30.492408305053
CREBBP	-0.707642501587301	8.14149416541353	-10.0393555262149	4.95867660494948e-18	9.28678716998598e-16	30.4586397442474
RAPGEF6	-0.958374426984125	8.56808796240601	-10.0200546355542	5.54448876680113e-18	1.02312125067383e-15	30.3491772443753
SRPR	-0.500198830158732	8.59212233082707	-10.016486547627	5.66011780133169e-18	1.02932113291464e-15	30.3289442506754
ARHGAP1	-0.400720799999998	7.95447203007519	-9.9767835762795	7.12102281855861e-18	1.27649420467534e-15	30.1038702119518
ARHGEF2	-0.61832326349206	9.49641890977444	-9.94066232813088	8.77443413623219e-18	1.55072675410481e-15	29.899204064589
MR1	0.315071260317461	7.31357509022556	9.9367986985052	8.97254399382783e-18	1.56357612849494e-15	29.8773183593485
DGKA	-0.818515893650796	9.37961738345865	-9.93442706933407	9.09635458878952e-18	1.56357612849494e-15	29.8638847353514
IRF2	-0.524318355555554	9.61192795488722	-9.9301747469201	9.32262975704623e-18	1.58081565123535e-15	29.8397993989797
BHLHE40	-0.626270203174604	7.8784919924812	-9.90586398589657	1.07283685041305e-17	1.79492757319772e-15	29.7021296110283
NFYC	-0.500533523809526	8.97642511278196	-9.90122479259974	1.10197320974828e-17	1.8194157678844e-15	29.6758635994144
TP53BP1	-0.340083646031745	7.47066821052632	-9.8969578612211	1.12946797439517e-17	1.84059274580656e-15	29.6517067734779
MOCS3	-0.339551988888889	5.68485817293233	-9.89135270625964	1.1666284379341e-17	1.86779080738842e-15	29.6199759543004
UBE4B	-0.642077426984124	7.81366078195489	-9.88936106517369	1.18012403299039e-17	1.86779080738842e-15	29.6087018732895
PATZ1	-0.286938363492064	6.58491487218045	-9.88779961975631	1.19081339329832e-17	1.86779080738842e-15	29.5998632256088
PTPN6	-0.535390609523807	11.7538938496241	-9.88313418700943	1.22333094611797e-17	1.89510576689978e-15	29.5734554680563
UPF1	-0.547355585714286	8.48250868421053	-9.86370592753216	1.3685450452193e-17	2.09420771065997e-15	29.4635048178959
NUP93	-0.517115825396823	8.62276988721804	-9.84897101840339	1.4900369079689e-17	2.25264856881852e-15	29.3801361388461
INPP5D	-0.579826550793651	9.78217792481203	-9.83084588489792	1.65433315383099e-17	2.47125862074658e-15	29.2776108759063
PTPRJ	-0.282229077777777	5.06631272932331	-9.82230324566759	1.73791586169138e-17	2.5655727332357e-15	29.2292988837223
RPL27	1.2357340015873	12.1199760150376	9.82009029717334	1.7602462252918e-17	2.56832205057692e-15	29.2167848041477
RGS14	-0.456623655555555	8.3858907443609	-9.8126172640227	1.83779143391121e-17	2.65064447272618e-15	29.1745283942445
MRPL57	0.514535687301588	9.18288652631579	9.79234879874101	2.06569433513564e-17	2.94549233150932e-15	29.0599442784633
EP400	-0.446235068253963	7.82705040601504	-9.74698219846631	2.68316445699349e-17	3.78296040520835e-15	28.8036035415633
CRKL	-0.317728347619049	7.65170960150376	-9.74371181309419	2.73421135272898e-17	3.81209822822703e-15	28.785131591073
USP21	-0.375634046031744	8.58905047368421	-9.73625491332682	2.85425587000069e-17	3.93573655568886e-15	28.7430168005776
GLRX2	0.543096885714288	7.19589960902256	9.69578988926585	3.60344668636414e-17	4.91478793701057e-15	28.5145692413554
ICAM1	-0.575435841269842	6.95249872932331	-9.68491798430832	3.83622049579738e-17	5.15087863866205e-15	28.4532173487793
PDP1	0.940200969841272	7.36877506015038	9.68390565948042	3.85864354506083e-17	5.15087863866205e-15	28.4475052071881
GBF1	-0.594162103174603	7.45471827819549	-9.6743898904028	4.07591158629779e-17	5.38363564051208e-15	28.3938163125811
PPP1CA	-0.36364161587302	11.6534579774436	-9.66827459726247	4.22193431072933e-17	5.51841997198246e-15	28.3593177943604
ITGB2	-0.546635573015873	12.7180470827068	-9.6637760141908	4.3326722465539e-17	5.60478055152148e-15	28.3339419948606
SVIL	-0.504408255555552	7.62383838345865	-9.65476955221536	4.56315585857747e-17	5.8427020115745e-15	28.2831438176125
ELMO2	-0.496633377777774	8.63178507518797	-9.64007205006017	4.9658195369384e-17	6.29405086358616e-15	28.2002639709304
TTBK2	0.873946946031746	5.61026918796992	9.63684320805116	5.05892045580331e-17	6.29446844634152e-15	28.1820592161778
ZNF148	0.663814669841273	9.79982744360902	9.63612168827846	5.07996162500519e-17	6.29446844634152e-15	28.1779913059284
OLA1	0.834359830158739	8.78308302255639	9.63487110630997	5.11663836090879e-17	6.29446844634152e-15	28.1709406773963
UBFD1	0.604001306349205	6.30209278947368	9.61836630208102	5.62615915602993e-17	6.85408204755957e-15	28.0779030462115
UTRN	-0.556275863492066	6.66917072180451	-9.60595963915909	6.04219837644056e-17	7.22503358770921e-15	28.0079844503613
RASA3	-0.792851946031742	6.27595396240601	-9.60585564328064	6.04581229446499e-17	7.22503358770921e-15	28.0073984394898
ARHGEF7	-0.339312606349209	7.93391933834586	-9.6001940948966	6.24584135259625e-17	7.39366200871488e-15	27.9754975733764
NADK	-0.599686073015871	9.56153190977444	-9.58457707159174	6.8324720848879e-17	8.01251025431527e-15	27.8875178049832
PPP1R12B	-0.481758439682541	6.7279927518797	-9.57053216774297	7.40680753776295e-17	8.55141272988705e-15	27.8084158735154
NDUFA4	1.7458818952381	8.34215311278195	9.57002773675914	7.4283072008104e-17	8.55141272988705e-15	27.8055752567093
VAMP2	-0.615883777777775	8.24344627819549	-9.56833251109787	7.50101737039076e-17	8.55661508760575e-15	27.7960290748941
MRPS15	0.615709890476196	6.80293736090226	9.54666747858995	8.49517999170062e-17	9.60338004827562e-15	27.6740547350365
G6PD	-0.88555400634921	9.86687857894737	-9.54162040819812	8.74503618916438e-17	9.79756375907452e-15	27.645646687818
WBP11	-0.442148715873016	9.02983987969925	-9.52553249175165	9.59141050104419e-17	1.05867405752365e-14	27.5551117438477
YLPM1	-0.476059587301587	7.49824890977444	-9.52504717238678	9.61817361792283e-17	1.05867405752365e-14	27.5523810273903
ATP2A3	-0.667413952380956	8.76616487969925	-9.51847034375332	9.98828089619669e-17	1.08985172769979e-14	27.5153780542067
RPS10	0.798369260317459	10.643560887218	9.50703895297371	1.06656712210751e-16	1.15373140070733e-14	27.4510729892855
CHERP	-0.340869431746033	7.4566474962406	-9.50530346953085	1.07724398680335e-16	1.15532115781269e-14	27.4413115862397
SAFB	-0.429526257142862	7.28277983458647	-9.48777816236825	1.19121494486796e-16	1.26672585832231e-14	27.3427568797474
TXNL1	0.496478617460319	10.4775733609023	9.4793781089359	1.25002725186388e-16	1.31809596272168e-14	27.295530422748
GALNT11	0.515423404761902	8.31381214285714	9.46324438385898	1.37122472240971e-16	1.43384398473308e-14	27.204845642582
EWSR1	-0.311207722222218	7.96614782706767	-9.45079205833063	1.47271622192074e-16	1.51686626861881e-14	27.1348729566202
PSME3	-0.389984820634922	8.54635703759399	-9.45054565848912	1.47479825288089e-16	1.51686626861881e-14	27.1334885486047
DNAJC7	0.471644312698416	9.04559172180451	9.4415921150884	1.55247740006651e-16	1.5836329993724e-14	27.0831872698764
RAB5B	-0.384456947619048	9.81788914285714	-9.44019571676924	1.5649545100588e-16	1.5836329993724e-14	27.0753430682931
GSN	-0.686011420634923	8.50210856390977	-9.42787849226255	1.67943145044838e-16	1.68588046721811e-14	27.0061611141963
SLC6A6	-0.598097138095234	6.41313069924812	-9.41651860562368	1.79239346236987e-16	1.78499628300136e-14	26.9423713886252
INPP5B	-0.412972276190476	7.0398195037594	-9.41351949568949	1.82345950856971e-16	1.80163542626242e-14	26.9255327820716
RPS10L	0.861555488888886	9.11711236842105	9.41100804280001	1.84988661726509e-16	1.81346697448769e-14	26.9114329303896
ABR	-0.533264153968247	8.31282190977444	-9.39784428010996	1.99477593163277e-16	1.93425101513991e-14	26.8375404448303
GSTO1	0.748808496825401	10.7256026240601	9.39704525449481	2.00392597998238e-16	1.93425101513991e-14	26.8330558934924
POTEKP	-0.425335330158731	8.39815203007519	-9.39086472006035	2.07613000495329e-16	1.98864727497358e-14	26.7983699721131
NTAN1	0.689708117460315	8.6746362406015	9.36718616223189	2.37756781976199e-16	2.26013037896769e-14	26.6655239506558
RNF44	-0.673160668253967	10.6915063082707	-9.36318867980853	2.43259711428125e-16	2.29505478120309e-14	26.6431029577411
TACC1	-0.3741801047619	8.00519329323308	-9.35922605542008	2.48839901314887e-16	2.33018140425314e-14	26.6208793284733
UBL5	0.799663098412701	9.09888218796993	9.34910125698422	2.63683831756686e-16	2.45089238583918e-14	26.5641047205723
GANAB	-0.529218960317458	9.37037816541353	-9.3358528892328	2.84447610334672e-16	2.62444751064666e-14	26.4898331179691
ARID3A	-0.705025884126982	8.36899872932331	-9.32399871954954	3.04403266222743e-16	2.78806728800218e-14	26.4233952917307
RPLP0	0.67539005873016	12.9081860075188	9.31868134619004	3.13802138953213e-16	2.8533255359311e-14	26.3935990514909
PLCG1	-0.437040317460319	8.50290538345865	-9.31657643119724	3.17602132614822e-16	2.86710184176315e-14	26.3818049687733
CXorf21	0.529729600000003	7.37213019548872	9.29140390304247	3.66759298554713e-16	3.28721119876038e-14	26.2408020726102
POLM	-0.433966495238091	7.21857253383459	-9.28458195042605	3.81340421538489e-16	3.39365929749288e-14	26.202602527546
TRANK1	-0.699155125396823	9.86453815789474	-9.27584659404423	4.0085744881367e-16	3.54222483641826e-14	26.1536972500199
DENND1B	0.825949273015871	8.77650741353384	9.27041039784583	4.1350242422495e-16	3.62841148194033e-14	26.1232672354606
RBM41	0.516195901587299	6.2698917518797	9.26379632145717	4.29424259330087e-16	3.74195528199578e-14	26.0862487948114
ZFP36	-0.53274474920635	11.4328703759398	-9.24620962700833	4.74793967493694e-16	4.10876876145577e-14	25.9878441295554
ZNF277	0.428032338095242	7.22963965413534	9.24401615950919	4.80777667049687e-16	4.13205353845169e-14	25.9755735194895
RBX1	1.1567907047619	8.67404045112782	9.24059422406185	4.90262944793804e-16	4.1849111777365e-14	25.9564318755431
RELA	-0.451518284126978	9.06804063909774	-9.22720080800439	5.29215263307982e-16	4.48688724593821e-14	25.8815259764704
PRPF8	-0.586436593650784	10.1930523834586	-9.22249938620816	5.43607256348391e-16	4.57797574004e-14	25.8552375600852
CCDC15	0.55489260952381	6.1253415037594	9.20993142056265	5.84023268834166e-16	4.85469260260106e-14	25.7849765659921
FAM63B	0.506849617460317	5.76327521052632	9.20987733078797	5.84203524858751e-16	4.85469260260106e-14	25.784674221913
ADAM8	-0.761249134920634	8.71291248120301	-9.19354829003119	6.41233973533214e-16	5.29355519729919e-14	25.6934175328442
CALCOCO1	-0.492362141269835	9.50562001503759	-9.16022346484645	7.75402518934354e-16	6.35931425332567e-14	25.5072859421848
NAB2	-0.261252785714279	6.35935239097744	-9.15590374292663	7.94727224821091e-16	6.4754787123734e-14	25.4831694028187
GLTSCR1	-0.430149753968252	7.71565336090226	-9.12351705314148	9.55736752255949e-16	7.73715146277913e-14	25.3024374501741
GNB2	-0.445125509523809	10.6656485112782	-9.11276761660098	1.01605605146475e-15	8.17273803447412e-14	25.242482133602
RP4-581F12.1	0.354573355555557	5.56048785714286	9.10884966784489	1.03897153528645e-15	8.3038310985824e-14	25.2206335612357
SIRPA	-0.575836799999996	8.94271085714286	-9.10255739589243	1.07685590525515e-15	8.55214423996308e-14	25.1855488830923
ATP6V1G1	1.01014142857143	9.7143492406015	9.09785962892003	1.10603422285553e-15	8.72862731345358e-14	25.1593584389527
PSAP	-0.443581817460316	12.6928413458647	-9.09561439849458	1.12025633707024e-15	8.78561032347338e-14	25.1468421614618
GTF3A	0.48820136825397	10.9093802631579	9.09447431939366	1.12754758515724e-15	8.78786776307645e-14	25.1404869337397
RPS15A	1.51993276825396	11.7278207894737	9.08120497304325	1.21596687338815e-15	9.41848909091021e-14	25.0665318154839
NOTCH1	-0.575705868253964	9.68612759398496	-9.07249762701697	1.27770582756772e-15	9.82655927981737e-14	25.0180157151207
ARHGEF18	-0.450996657142863	11.2472667669173	-9.07108232849416	1.28803173692617e-15	9.82655927981737e-14	25.0101308685268
FAM193A	-0.489687590476189	8.65215402255639	-9.07052183443926	1.29214399200659e-15	9.82655927981737e-14	25.0070083467923
ZNF692	-0.496418468253969	7.75407851879699	-9.06822285547053	1.30914846849784e-15	9.89590059199454e-14	24.9942011551418
PBXIP1	-0.492813649206347	9.41653260150376	-9.06396006979951	1.34127011953512e-15	1.0077998478998e-13	24.9704559089684
PUS3	0.478259301587304	7.34528054887218	9.05961467680392	1.37482207126483e-15	1.02686115179947e-13	24.9462531282695
ACTB	-0.198444107936508	14.0120218120301	-9.05704965902398	1.39501817730653e-15	1.03578036028653e-13	24.9319678470229
ARHGAP17	-0.501904492063487	9.20856980451128	-9.05173418432696	1.43781574893897e-15	1.06127717751095e-13	24.9023674678825
CD48	0.851050644444449	11.2902863759398	9.04410938545576	1.50149935725897e-15	1.10180198449623e-13	24.8599140688789
JAK1	-0.428977785714288	12.001758075188	-9.0359950377442	1.57235895461155e-15	1.1470907071201e-13	24.8147439943322
LY96	1.30998196984127	7.98165992481203	9.03187374539166	1.60961386340375e-15	1.16748177791851e-13	24.7918056104513
CCDC69	0.369745993650794	9.44495193233083	9.0204768300768	1.71727654029783e-15	1.23841299009524e-13	24.7283850116761
RARA	-0.455610811111107	8.34702966165414	-9.01791174234967	1.74247979750008e-15	1.24940779994463e-13	24.7141135894864
TMBIM6	-0.415177844444447	12.0793317894737	-9.00135071389825	1.91430251857345e-15	1.36481068199203e-13	24.621995507288
KYNU	0.454073471428573	6.52267432330827	8.99530995159242	1.98108964461736e-15	1.4044470542745e-13	24.5884045991485
RSRC1	0.752362612698417	6.50979319548872	8.98553818338423	2.09407274262201e-15	1.47620363901241e-13	24.5340778962837
LYRM2	0.870575474603175	5.59921087218045	8.97575698222098	2.21358775702399e-15	1.55173738408586e-13	24.4797127208386
SMURF2	0.615638957142856	7.51210193233083	8.97091855447045	2.27519415821556e-15	1.58038399760533e-13	24.4528253061705
PFAS	-0.499945690476189	6.96443430827068	-8.97027024580194	2.28357754379967e-15	1.58038399760533e-13	24.4492228801896
C2orf49	0.457296425396826	6.38231193233083	8.96960307778279	2.29223691077598e-15	1.58038399760533e-13	24.4455157239887
SP100	0.367964412698409	7.05702621052632	8.95942872798766	2.42841638561884e-15	1.66512397851067e-13	24.3889895241298
IQSEC1	-0.401693763492066	10.2472385789474	-8.94433718485702	2.64537927431617e-15	1.79915509067453e-13	24.3051728708695
ARHGDIA	-0.581347865079357	8.27765423308271	-8.94385878930503	2.65256368963013e-15	1.79915509067453e-13	24.3025164730982
RAPGEF1	-0.502487130158733	6.03505667669173	-8.93939070857544	2.72060901710414e-15	1.83538720143133e-13	24.2777081124534
SLC26A2	0.742061180952382	8.13866856390977	8.93818726972701	2.73923161981574e-15	1.83806836178866e-13	24.271026706094
PRKCSH	-0.538128553968257	9.52250641353383	-8.91950939717663	3.04507578726026e-15	2.03242611587988e-13	24.16735640086
CD37	-0.678877771428574	11.6487057669173	-8.91238394549193	3.17051023717843e-15	2.10495039450343e-13	24.1278209321903
MSN	-0.464876496825397	12.3822591278195	-8.9080926911775	3.24851999980447e-15	2.1453909977656e-13	24.1040146867616
CAMTA2	-0.459678769841268	8.65276621804511	-8.89105182898875	3.57761784673172e-15	2.3503638084183e-13	24.0095062019266
BRAP	0.258856155555555	7.26185338345865	8.88962757982455	3.60658139029844e-15	2.35705121278462e-13	24.0016093417568
EVI2A	2.1559596015873	7.71258713533835	8.88770592021548	3.6460304930142e-15	2.36116017271657e-13	23.9909550449273
MED12	-0.453200620634912	7.71386042105263	-8.8874893777602	3.65050265784997e-15	2.36116017271657e-13	23.9897544997565
CD52	1.23150013015874	10.397051518797	8.87888804250535	3.8326282489827e-15	2.46624714196076e-13	23.9420731987922
TP53TG1	0.498215282539681	6.31970317293233	8.87035257004191	4.02229614048122e-15	2.57509040667135e-13	23.8947683114156
PHF2	-0.297900912698412	6.74999003007519	-8.86572613411327	4.1289752915037e-15	2.62502593712121e-13	23.8691326233528
AKT1	-0.440729444444441	9.58428529323308	-8.86516090882151	4.14220014132122e-15	2.62502593712121e-13	23.8660008640928
COX6A1	0.641070698412697	10.7874833609023	8.8642732120202	4.16305516008225e-15	2.62502593712121e-13	23.8610824785041
ELAVL1	-0.409384606349199	9.09107576691729	-8.85991776086425	4.26690360051915e-15	2.67705531896571e-13	23.8369523830005
RUFY3	0.310992063492059	6.24645711278195	8.85516928051793	4.38306270189946e-15	2.73625227778281e-13	23.810648199264
DOCK2	-0.481133523809524	10.0916684962406	-8.84632621740021	4.60783675958737e-15	2.85743433713067e-13	23.7616715048342
UBE2G2	0.449366596825396	8.47323576691729	8.84575584852803	4.62272211059552e-15	2.85743433713067e-13	23.7585129776331
IST1	-0.34114351111111	10.8573048947368	-8.84372465010011	4.67612157347737e-15	2.8762732109801e-13	23.7472652417005
MTMR1	-0.437632046031744	7.29024709022556	-8.84056636746521	4.76037353552335e-15	2.91381303042668e-13	23.7297775812474
SREBF1	-0.386772761904757	7.55572929323308	-8.82659461960495	5.15158666327591e-15	3.1379664781935e-13	23.6524338119273
LSM14B	-0.506637596825395	7.05635231578947	-8.82265534658471	5.26755861658349e-15	3.19310751308645e-13	23.6306326679373
RPS21	0.720243425396824	9.74299709022556	8.82123497824911	5.31000838472194e-15	3.20336467362937e-13	23.6227725197203
RPL35	1.23610798095239	10.938442481203	8.8063878513172	5.77463434192799e-15	3.46664485219895e-13	23.5406295710751
MRPS31	0.748799807936508	7.61885879699248	8.80543586180219	5.80576972570109e-15	3.46664485219895e-13	23.5353638146448
NCOA6	-0.612240715873012	9.13340877443609	-8.8047194061482	5.8293119526138e-15	3.46664485219895e-13	23.5314009667573
CASS4	-0.496688169841268	6.47936158646617	-8.80070121663617	5.96311809190102e-15	3.52949084043273e-13	23.5091771504329
RAD1	0.41143905079365	7.50216221804511	8.79470942035693	6.16834270430775e-15	3.63381991801191e-13	23.4760425299444
SAFB2	-0.46675635873016	8.6166794887218	-8.79088989024104	6.30281770220967e-15	3.69568955735173e-13	23.4549235595917
LGALS3	0.756425533333335	12.6266186541353	8.7823568842985	6.61387195859835e-15	3.86004024820893e-13	23.4077513374373
CYTH4	-0.549079560317461	9.65244307518797	-8.7773467491172	6.8035753394572e-15	3.95237330368097e-13	23.3800597801084
NDUFA7	0.56072550952381	8.19245459398496	8.77610884879718	6.8512752451203e-15	3.96174201731657e-13	23.3732184008021
MAP4K2	-0.428267915873019	7.39554127819549	-8.77400886724446	6.93295591059563e-15	3.9905839800988e-13	23.361613214825
PI4KA	-0.540845973015868	8.96087595488722	-8.77063871761958	7.06607087981259e-15	4.04863275798577e-13	23.3429901675654
TMBIM4	0.531720087301585	10.3804308045113	8.76174123974634	7.42985146926503e-15	4.23771710165171e-13	23.2938326834983
PLEC	-0.81659831111111	7.69876266917293	-8.75566104631497	7.68910380368322e-15	4.3657409288967e-13	23.2602478217943
HPCAL1	-0.378742933333335	9.71998151879699	-8.75383541805223	7.76868920889048e-15	4.3910591077999e-13	23.250164876803
ANKFY1	-0.546982303174604	7.03097646616541	-8.75173976111811	7.86105694995147e-15	4.41998969349673e-13	23.2385912403714
MYO1F	-0.468634258730159	12.4451435488722	-8.75108088288681	7.89032269161036e-15	4.41998969349673e-13	23.2349526183076
TAF4	-0.405740763492068	6.64454886466165	-8.7477836836895	8.03841272182527e-15	4.48293345926505e-13	23.2167450771166
KIAA0556	-0.357204034920638	8.26031193984962	-8.74640822882255	8.10100416738189e-15	4.4978495704561e-13	23.2091501762948
TUBD1	0.493983025396828	6.65344952631579	8.74464159120692	8.18210864836254e-15	4.52286781143847e-13	23.1993957259529
BATF	0.362823238095237	8.98804764661654	8.73621731140814	8.5801085600255e-15	4.72207027242105e-13	23.1528883641973
